name,pdfPage,printedPage,y,inApp
INCR,236,3-116,730,yes
INPUT,237,3-117,172,no
INT,238,3-118,241,no
INV,239,3-119,285,yes
INTVX,239,3-119,524,no
INTEGER,239,3-119,661,no
IQUOT,240,3-120,185,yes
IP,240,3-120,400,no
INVMOD,240,3-120,603,yes
ISOM,241,3-121,217,no
ISOL,241,3-121,479,no
IREMAINDER,241,3-121,667,yes
JORDAN,242,3-122,189,no
I→R,242,3-122,320,no
ISPRIME?,242,3-122,506,yes
KEY,243,3-123,151,no
KERRM,243,3-123,319,no
KER,243,3-123,565,no
KEYTIME,244,3-124,234,no
KEYEVAL,244,3-124,567,no
LABEL,245,3-125,132,no
KILL,245,3-125,300,yes
KGET,245,3-125,574,no
LANGUAGE,246,3-126,369,no
LAGRANGE,246,3-126,624,no
LAST,247,3-127,242,yes
LAPL,247,3-127,507,no
LAP,247,3-127,730,no
LCM,248,3-128,150,yes
LCD,248,3-128,493,no
LASTARG,248,3-128,730,yes
LDEC,249,3-129,302,no
LCXM,249,3-129,570,no
LIBS,250,3-130,111,no
LIBEVAL,250,3-130,299,no
LGCD,250,3-130,485,no
LEGENDRE,250,3-130,693,yes
LIN,251,3-131,226,no
LIMIT,251,3-131,328,no
lim,251,3-131,651,no
LINFIT,252,3-132,123,yes
ΣΣLINEΣΣ,252,3-132,449,no
LINE,252,3-132,643,no
LIST,253,3-133,112,no
LIST→,253,3-133,268,yes
LINSOLVE,253,3-133,468,no
LININ,253,3-133,693,no
LN,254,3-134,81,yes
ΣLIST,254,3-134,257,yes
ΠΠLISTΠΠ,254,3-134,433,no
LNP1,256,3-136,172,yes
LNCOLLECT,256,3-136,442,yes
LNAME,256,3-136,642,no
LOG,257,3-137,379,yes
LOCAL,257,3-137,629,no
LR,258,3-138,291,no
LQ,258,3-138,514,yes
LOGFIT,258,3-138,642,yes
LU,259,3-139,216,yes
LSQ,259,3-139,539,yes
MAD,260,3-140,366,yes
LVAR,260,3-140,655,no
↓MATCH,261,3-141,146,no
MAP,261,3-141,346,yes
MANT,261,3-141,509,yes
MAIN,261,3-141,711,no
↑MATCH,262,3-142,305,no
MAX,263,3-143,253,yes
MATR,263,3-143,390,no
MATHS,263,3-143,541,no
MCALC,264,3-144,258,no
MAXΣΣΣΣ,264,3-144,451,no
MAXR,264,3-144,655,yes
MENU,265,3-145,222,no
MEM,265,3-145,474,yes
MEAN,265,3-145,730,yes
MENUXY,266,3-146,463,no
MINEHUNT,267,3-147,241,no
MIN,267,3-147,507,yes
MERGE,267,3-147,570,yes
MINR,268,3-148,210,yes
MINIT,268,3-148,307,no
MINIFONT,268,3-148,586,no
MKISOM,269,3-149,300,no
MITM,269,3-149,452,no
MINΣ,269,3-149,639,yes
MODULAR,270,3-150,179,no
MODSTO,270,3-150,358,no
MOD,270,3-150,610,yes
MSGBOX,271,3-151,201,no
MROOT,271,3-151,374,no
MOLWT,271,3-151,730,no
MSOLVR,272,3-152,190,no
MSLV,272,3-152,651,no
NDISP,273,3-153,224,no
MUSER,273,3-153,431,no
MULTMOD,273,3-153,647,no
NEG,274,3-154,370,yes
NDUPN,274,3-154,529,yes
NDIST,274,3-154,730,no
NEXTPRIME,275,3-155,176,yes
NEXT,275,3-155,393,no
NEWOB,275,3-155,709,yes
NOVAL,276,3-156,117,no
NOT,276,3-156,486,yes
NIP,276,3-156,679,yes
NUM,277,3-157,141,yes
→NUM,277,3-157,306,yes
NSUB,277,3-157,467,yes
NΣ,277,3-157,612,yes
OBJ→,278,3-158,222,yes
NUMY,278,3-158,393,no
NUMX,278,3-158,573,no
OLDPRT,279,3-159,101,no
OFF,279,3-159,223,no
OCT,279,3-159,395,yes
OR,280,3-160,228,yes
OPENIO,280,3-160,510,no
OVER,281,3-161,99,yes
ORDER,281,3-161,310,yes
PARAMETRIC,282,3-162,218,no
PA2B2,282,3-162,405,no
P2C,282,3-162,636,no
PARITY,283,3-163,374,no
PARTFRAC,284,3-164,266,no
PARSURFACE,284,3-164,730,no
PCOEF,285,3-165,264,yes
PCAR,285,3-165,523,no
PATH,285,3-165,693,yes
PCOV,286,3-166,264,no
PCONTOUR,286,3-166,724,no
PERM,287,3-167,314,yes
PERINFO,287,3-167,412,no
PDIM,287,3-167,642,no
PICK3,288,3-168,137,yes
PICK,288,3-168,289,yes
PGDIR,288,3-168,420,yes
PEVAL,288,3-168,620,yes
PERTBL,288,3-168,730,no
PINIT,289,3-169,170,no
PICTURE,289,3-169,375,no
PICT,289,3-169,622,no
PKT,290,3-170,219,no
PIXON,290,3-170,376,no
PIXOFF,290,3-170,537,no
PIX?,290,3-170,708,no
PMIN,291,3-171,109,no
PMAX,291,3-171,278,no
PLOTADD,291,3-171,412,no
PLOT,291,3-171,572,no
POLAR,292,3-172,331,no
PMINI,292,3-172,639,no
POP,293,3-173,180,no
POLYNOMIAL,293,3-173,318,no
POWEXPAND,294,3-174,157,no
∇U=V,294,3-174,449,no
POTENTIAL,294,3-174,515,no
POS,294,3-174,730,yes
PR1,295,3-175,449,no
POWMOD,295,3-175,630,no
PREDX,296,3-176,439,yes
PREDV,296,3-176,616,yes
PREVAL,297,3-177,341,yes
PREDY,297,3-177,730,no
PROMPTSTO,298,3-178,139,no
PROMPT,298,3-178,299,no
PRLCD,298,3-178,519,no
PREVPRIME,298,3-178,711,yes
PROPFRAC,299,3-179,320,no
PROOT,299,3-179,657,yes
PRVAR,300,3-180,355,no
PRSTC,300,3-180,562,no
PRST,300,3-180,730,no
PSI,301,3-181,458,yes
PSDEV,301,3-181,730,no
PURGE,302,3-182,237,yes
PTPROP,302,3-182,499,no
PTAYL,302,3-182,730,yes
PUT,303,3-183,278,yes
PUSH,303,3-183,447,no
PUTI,304,3-184,363,yes
PVARS,305,3-185,134,no
PVAR,305,3-185,412,no
PWRFIT,306,3-186,200,yes
PVIEW,306,3-186,596,no
Qπ,307,3-187,311,no
Q,307,3-187,564,no
PXC,307,3-187,730,no
QUAD,308,3-188,145,no
qr,308,3-188,557,yes
QUOTE,309,3-189,410,no
QUOT,309,3-189,653,yes
RANK,310,3-190,115,yes
RAND,310,3-190,307,yes
RAD,310,3-190,465,yes
QXA,310,3-190,730,no
RATIO,311,3-191,342,no
RANM,311,3-191,531,yes
RCIJ,312,3-192,99,yes
RCI,312,3-192,298,yes
RCEQ,312,3-192,465,no
RCLALARM,313,3-193,148,no
RCL,313,3-193,563,yes
RCLMENU,314,3-194,126,no
RCLKEYS,314,3-194,351,no
RCLF,314,3-194,601,yes
RDM,315,3-195,106,yes
RCWS,315,3-195,254,yes
RCLΣ,315,3-195,427,no
RCLVX,315,3-195,582,no
RE,316,3-196,216,yes
RDZ,316,3-196,372,yes
RECV,317,3-197,148,no
RECT,317,3-197,328,yes
RECN,317,3-197,566,no
RENAME,318,3-198,239,no
REMAINDER,318,3-198,494,yes
REF,318,3-198,667,yes
REPL,319,3-199,318,yes
REPEAT,319,3-199,447,no
REORDER,319,3-199,730,no
RES,320,3-200,405,no
RESULTANT,321,3-201,174,no
RESTORE,321,3-201,430,no
RISCH,322,3-202,345,no
REWRITE,322,3-202,483,no
REVLIST,322,3-202,622,yes
RKFERR,323,3-203,178,no
−2y,323,3-203,377,no
1+t,323,3-203,425,no
"′y=−2y=f(t,y)",323,3-203,435,no
RKF,323,3-203,730,no
RL,324,3-204,180,yes
RKFSTEP,324,3-204,551,no
RND,325,3-205,482,yes
RLB,325,3-205,655,yes
ROMUPLOAD,326,3-206,164,no
ROLLD,326,3-206,338,yes
ROLL,326,3-206,523,yes
RNRM,326,3-206,709,yes
ROW–,327,3-207,252,yes
ROT,327,3-207,442,yes
ROOT,327,3-207,730,no
→ROW,328,3-208,258,yes
ROW→,328,3-208,473,yes
ROW+,328,3-208,730,yes
RRB,329,3-209,285,yes
RR,329,3-209,486,yes
RPL>,329,3-209,724,no
rref,330,3-210,730,yes
RRK,331,3-211,447,no
RREFMOD,331,3-211,730,no
RRKSTEP,332,3-212,400,no
(1+t),332,3-212,699,no
−2t,332,3-212,716,no
RSD,333,3-213,173,no
RSBERR,333,3-213,543,no
R→B,334,3-214,261,yes
RULES,334,3-214,335,no
RSWP,334,3-214,544,yes
SAME,335,3-215,191,yes
RI,335,3-215,322,no
R→D,335,3-215,519,yes
R→C,335,3-215,730,yes
SCALEW,336,3-216,111,no
SCALEH,336,3-216,288,no
SCALE,336,3-216,484,no
SBRK,336,3-216,607,no
SCATTER,337,3-217,345,no
SCATRPLOT,337,3-217,597,no
SCLΣ,338,3-218,138,no
SCI,338,3-218,389,yes
SCHUR,338,3-218,624,no
SEND,339,3-219,106,no
SDEV,339,3-219,376,yes
SCROLL,339,3-219,524,no
SCONJ,339,3-219,684,yes
SERIES,340,3-220,168,no
SEQ,340,3-220,459,yes
SF,341,3-221,87,yes
SEVAL,341,3-221,362,no
SERVER,341,3-221,529,no
SIGMA,342,3-222,122,no
SIDENS,342,3-222,378,no
SHOW,342,3-222,612,no
SIGN,343,3-223,230,yes
SIGMAVX,343,3-223,505,no
SIMP2,344,3-224,301,no
SIGNTAB,344,3-224,540,no
SINCOS,345,3-225,202,no
SIN,345,3-225,473,yes
SIMPLIFY,345,3-225,711,no
SIZE,346,3-226,284,yes
SINV,346,3-226,441,yes
SINH,346,3-226,630,yes
SLOPEFIELD,347,3-227,113,no
SLB,347,3-227,311,yes
SL,347,3-227,508,yes
SNRM,348,3-228,148,no
SNEG,348,3-228,303,yes
SOLVEQN,349,3-229,241,no
SOLVE,349,3-229,660,yes
SORT,350,3-230,217,yes
SOLVEVX,350,3-230,547,no
SOLVER,350,3-230,654,no
SRAD,351,3-231,98,no
SR,351,3-231,298,yes
SQ,351,3-231,534,yes
SPHERE,351,3-231,660,yes
SRECV,352,3-232,390,no
SRB,352,3-232,590,yes
SST↓,353,3-233,144,no
SST,353,3-233,271,no
SREPL,353,3-233,479,yes
STD,354,3-234,269,yes
START,354,3-234,709,no
STIME,355,3-235,224,no
STEQ,355,3-235,358,no
STEP,355,3-235,474,no
STOALARM,356,3-236,190,no
STO,356,3-236,641,yes
STOKEYS,357,3-237,226,no
STOF,357,3-237,492,yes
STO+,358,3-238,210,yes
STOVX,358,3-238,363,no
STORE,358,3-238,624,no
STO/,359,3-239,174,yes
STO*,359,3-239,426,yes
STO–,359,3-239,643,yes
→STR,360,3-240,245,yes
STR→,360,3-240,400,yes
STOΣ,360,3-240,582,no
STURM,361,3-241,267,no
STRM,361,3-241,353,no
STREAM,361,3-241,581,yes
SUB,362,3-242,159,yes
STWS,362,3-242,446,yes
STURMAB,362,3-242,711,no
SUBTMOD,363,3-243,121,no
SUBST,363,3-243,425,yes
SWAP,364,3-244,179,yes
SVL,364,3-244,363,no
SVD,364,3-244,636,no
SYST2MAT,365,3-245,217,no
SYLVESTER,365,3-245,482,no
SYSEVAL,365,3-245,709,no
TABVAL,366,3-246,281,no
%T,366,3-246,630,yes
2 1–5,366,3-246,654,no
1–10,366,3-246,667,no
TAIL,367,3-247,190,yes
→TAG,367,3-247,380,yes
–,367,3-247,476,yes
TABVAR,367,3-247,711,no
TAN2SC,368,3-248,121,yes
TAN2CS2,368,3-248,373,yes
TAN,368,3-248,709,yes
TANH,369,3-249,301,yes
TAN2SC2,369,3-249,566,yes
TCHEBYCHEFF,370,3-250,288,yes
TAYLR,370,3-250,507,no
TAYLOR0,370,3-250,730,no
TESTS,371,3-251,185,no
TDELTA,371,3-251,465,no
TCOLLECT,371,3-251,730,yes
THEN,372,3-252,163,no
TEXT,372,3-252,334,no
TEXPAND,372,3-252,570,yes
TEVAL,372,3-252,724,no
TINC,373,3-253,231,no
→TIME,373,3-253,395,no
TIME,373,3-253,559,no
TICKS,373,3-253,730,no
TLINE,374,3-254,333,no
TLIN,374,3-254,585,yes
TRAN,375,3-255,93,no
TRACE,375,3-255,253,yes
TOT,375,3-255,424,yes
TMENU,375,3-255,730,no
TRIG,376,3-256,335,no
TRANSIO,376,3-256,621,no
TRIGTAN,377,3-257,102,no
TRIGSIN,377,3-257,304,no
TRIGO,377,3-257,454,no
TRIGCOS,377,3-257,662,no
TRNC,378,3-258,342,yes
TRN,378,3-258,546,yes
xsin(),378,3-258,616,no
TRUTH,379,3-259,269,no
TRUNC,379,3-259,519,yes
TSTR,380,3-260,180,no
TSIMP,380,3-260,403,yes
TVMROOT,381,3-261,118,no
TVMEND,381,3-261,229,no
TVMBEG,381,3-261,341,no
TVM,381,3-261,439,no
TVARS,381,3-261,626,no
UBASE,382,3-262,221,yes
TYPE,382,3-262,657,yes
UNASSUME,383,3-263,166,no
UNASSIGN,383,3-263,426,no
UFL1→MINIF,383,3-263,574,no
UFACT,383,3-263,724,no
UNPICK,384,3-264,231,yes
→UNIT,384,3-264,407,yes
UNBIND,384,3-264,599,no
UTPC,385,3-265,331,yes
UPDIR,385,3-265,447,yes
UNTIL,385,3-265,564,no
UNROT,385,3-265,730,no
UTPN,386,3-266,270,yes
UTPF,386,3-266,651,yes
V→,387,3-267,178,yes
UVAL,387,3-267,337,yes
UTPT,387,3-267,651,yes
→V3,388,3-268,122,yes
→V2,388,3-268,471,yes
VAR,389,3-269,98,yes
VANDERMONDE,389,3-269,413,yes
VERSION,390,3-270,215,no
VER,390,3-270,356,no
VARS,390,3-270,513,yes
∇×U=V,391,3-271,340,no
VPOTENTIAL,391,3-271,406,no
VISITB,391,3-271,576,no
VISIT,391,3-271,730,no
WAIT,392,3-272,400,no
*W,392,3-272,466,no
VTYPE,392,3-272,680,yes
WIREFRAME,393,3-273,132,no
WHILE,393,3-273,425,no
WSLOG,394,3-274,303,no
ΣX2,395,3-275,133,yes
ΣX,395,3-275,316,yes
XMIT,396,3-276,151,no
XGET,396,3-276,320,no
XCOL,396,3-276,541,no
ΣX^2,396,3-276,636,no
XOR,397,3-277,364,yes
XNUM,397,3-277,554,yes
XQ,398,3-278,186,yes
XPUT,398,3-278,323,no
XPON,398,3-278,535,yes
XROOT,399,3-279,159,yes
XRNG,399,3-279,335,no
XRECV,399,3-279,563,no
XSERV,400,3-280,158,no
XSEND,400,3-280,412,no
ΣX*Y,401,3-281,143,no
ΣXY,401,3-281,309,yes
XXRNG,401,3-281,486,no
XVOL,401,3-281,663,no
YCOL,402,3-282,281,no
ΣY^2,402,3-282,375,no
ΣY2,402,3-282,544,yes
ΣY,402,3-282,730,yes
YSLICE,403,3-283,518,no
YRNG,403,3-283,730,no
ZEROS,404,3-284,369,no
YYRNG,404,3-284,547,no
YVOL,404,3-284,724,no
^(Power),405,3-285,246,yes
ZVOL,405,3-285,424,no
ZFACTOR,405,3-285,730,no
√(Square Root),406,3-286,310,yes
|(Where),406,3-286,581,no
?(Undefined),408,3-288,166,no
∫(Integrate),408,3-288,730,no
Σ+(Sigma Plus),409,3-289,111,no
∞(Infinity),409,3-289,653,no
π(Pi),410,3-290,149,no
Σ–(Sigma Minus),410,3-290,369,no
!(Factorial),411,3-291,180,yes
∂(Derivative),411,3-291,573,no
_(Unit attachment),412,3-292,117,no
%(Percent),412,3-292,538,yes
<(Less than),413,3-293,495,yes
« »(Program delimiters),413,3-293,632,no
≤(Less than or Equal),414,3-294,525,yes
≥(Greater than or Equal),415,3-295,248,yes
>(Greater than),415,3-295,730,yes
≠(Not equal),416,3-296,375,yes
*(Multiply),417,3-297,559,yes
+(Add),418,3-298,405,yes
/(Divide),420,3-300,145,yes
=(Equal),421,3-301,158,yes
==(Logical Equality),422,3-302,393,yes
→(Create Local),423,3-303,367,no
(Store),423,3-303,562,no
;(Semicolon),424,3-304,642,no
